season,week,away_team,home_team,home_win,edge_qb,edge_offense,edge_defense,edge_trenches,edge_injuries,edge_market,edge_turnovers,edge_form,edge_situational,edge_matchup,edge_coaching,home_win_probability_ml,ml_pick,actual_winner,correct,ml_win_probability,backtest_probability,models_agree_backtest,confidence_score_backtest,confidence_tier_backtest,backtest_correct
2025,1,DAL,PHI,1,0.3447482029338338,2.2919432126572232,1.363671971976782,0.7747752618849563,0.0,0.0,0.1034244608801501,0.0,0.75,0.9282712406804414,0.0,0.7107254860759369,PHI,PHI,1,0.7107254860759369,0.7107254860759369,False,71,STRONG,1
2025,1,KC,LAC,1,0.557835279475142,-0.0364202955599346,0.4527478623468342,0.1105579411651086,0.0,0.0,0.1673505838425426,0.0,0.75,-0.4891681579067689,0.0,0.5518825750767986,LAC,LAC,1,0.5518825750767986,0.5518825750767986,False,55,LOW,1
2025,1,TB,ATL,0,-1.0912672142279276,-1.7455808208868242,-1.385244440077762,-0.5894731485607307,0.0,0.0,-0.3273801642683783,0.0,0.75,-0.3603363808090626,0.0,0.3776576966983586,TB,TB,1,0.6223423033016413,0.6223423033016413,False,62,MEDIUM,1
2025,1,CIN,CLE,0,-1.371935158648978,-3.236969300629429,-0.1305082839202785,-0.9207435048875916,0.0,0.0,-0.4115805475946934,0.0,0.75,-3.106461016709151,0.0,0.3081428627977989,CIN,CIN,1,0.6918571372022011,0.6918571372022011,False,69,STRONG,1
2025,1,MIA,IND,1,-0.1243814448689821,-1.024707635938534,-0.8202238416561736,-0.5007216003006687,0.0,0.0,-0.0373144334606946,0.0,0.75,-0.2044837942823603,0.0,0.4289915636340711,MIA,IND,0,0.5710084363659289,0.5710084363659289,False,57,LOW,0
2025,1,CAR,JAX,1,-0.3236118586740049,-1.1605177772019608,0.6618671665793588,0.4068519115520203,0.0,0.0,-0.0970835576022014,0.0,0.75,-1.8223849437813195,0.0,0.531263954218815,JAX,JAX,1,0.531263954218815,0.531263954218815,False,53,PASS,1
2025,1,LV,NE,0,0.2894710247113723,0.1700887207923925,-0.645230538742953,-0.0356767156835591,0.0,0.0,0.0868413074134116,0.0,0.75,0.8153192595353455,0.0,0.5284264628256423,NE,LV,0,0.5284264628256423,0.5284264628256423,False,53,PASS,0
2025,1,ARI,NO,0,-0.0382180321102056,-1.6058233192068485,-0.7800636844357465,-0.7033239581291595,0.0,0.0,-0.0114654096330617,0.0,0.75,-0.8257596347711016,0.0,0.3879362951623407,ARI,ARI,1,0.6120637048376594,0.6120637048376594,False,61,MEDIUM,1
2025,1,PIT,NYJ,0,-0.0512658812967297,0.9738811403455184,-0.5943260348940033,0.3543974177460607,0.0,0.0,-0.0153797643890189,0.0,0.75,1.5682071752395217,0.0,0.5967096518587011,NYJ,PIT,0,0.5967096518587011,0.5967096518587011,False,60,LOW,0
2025,1,NYG,WAS,1,0.4866592623430881,1.8256399104153411,0.7069142561643541,1.2772347137389932,0.0,0.0,0.1459977787029264,0.0,0.75,1.1187256542509874,0.0,0.7274999484610589,WAS,WAS,1,0.7274999484610589,0.7274999484610589,False,73,STRONG,1
